Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
Lionel Richie,Tonight Will Be Alright,0.0591,0.6459999999999999,307413.0,0.84,1627956,0.0141,8.0,0.0516,-8.213,1.0,38,0.0283,125.18700000000001,4.0,0.716,
Guided By Voices,Game of Pricks,0.248,0.372,93307.0,0.966,97323,0.663,2.0,0.529,-6.984,0.0,50,0.0729,122.224,4.0,0.324,
Wilco,A Shot In The Arm,0.0486,0.556,259800.0,0.787,519653,2.05e-05,2.0,0.0966,-5.006,1.0,46,0.0305,126.356,4.0,0.571,
White Town,Your Woman,0.033,0.815,259893.0,0.605,21797,0.684,5.0,0.114,-9.118,0.0,64,0.0368,102.643,4.0,0.795,
Air,Sexy Boy,0.00111,0.435,298467.0,0.651,585907,0.609,0.0,0.111,-6.152,1.0,48,0.0288,111.896,4.0,0.206,
Ride,Vapour Trail,0.000636,0.428,257667.0,0.802,125833,0.778,4.0,0.0944,-5.682,1.0,52,0.0304,107.527,4.0,0.428,
Hole,Doll Parts,0.147,0.245,211960.0,0.542,496244,4.05e-06,7.0,0.102,-7.159,1.0,57,0.0324,204.824,4.0,0.365,
New Radicals,You Get What You Give,0.17,0.621,300773.0,0.901,134183,0.0,2.0,0.0875,-5.396,1.0,74,0.0302,113.967,4.0,0.744,
Black Grape,Reverend Black Grape,0.000587,0.61,313773.0,0.919,48744,0.00263,8.0,0.186,-6.889,1.0,29,0.0643,108.11,4.0,0.657,
Daft Punk,Around The World,0.00356,0.956,429533.0,0.795,6142749,0.889,7.0,0.0906,-5.311,1.0,71,0.15,121.294,4.0,0.841,
The Lemonheads,It's A Shame About Ray,0.0111,0.495,224480.0,0.936,149772,0.000709,4.0,0.276,-7.196,0.0,61,0.0401,107.394,4.0,0.837,
The Cardigans,Carnival,0.0625,0.515,216881.0,0.748,541278,3.8e-06,2.0,0.384,-5.855,1.0,53,0.031,110.571,4.0,0.394,
Happy Mondays,Kinky Afro,0.000523,0.547,239493.0,0.764,242122,1.79e-05,5.0,0.285,-12.552,1.0,54,0.0419,117.722,4.0,0.722,
Teenage Fanclub,Sparky's Dream,0.00363,0.477,197333.0,0.962,85461,0.000101,4.0,0.336,-6.212,0.0,40,0.0743,124.873,4.0,0.352,
Pixies,Velouria,0.00145,0.488,220333.0,0.642,1513620,0.239,6.0,0.0817,-12.578,1.0,47,0.0319,124.624,4.0,0.523,
Mercury Rev,Goddess On A Hiway - Remastered,0.0186,0.467,225333.0,0.761,73509,1.25e-06,9.0,0.0666,-5.893,1.0,54,0.0386,145.241,4.0,0.257,
Cocteau Twins,Cherry-coloured Funk,0.00174,0.377,192467.0,0.65,289337,5.75e-05,2.0,0.107,-5.902,1.0,62,0.029,180.074,4.0,0.365,
Pavement,Cut Your Hair,0.00556,0.477,186827.0,0.731,282502,0.00169,4.0,0.236,-9.814,0.0,51,0.0313,110.815,4.0,0.63,
