Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Lionel Richie,Tonight Will Be Alright,0.0591,0.646,307413,0.84,1627956,0.0141,8,0.0516,-8.213,1,38,0.0283,125.187,4,0.716
Course Of Nature,The Window,0.00119,0.496,191160,0.928,10469,3.53e-05,1,0.0988,-2.367,0,11,0.0469,144.932,4,0.561
Mariah Carey,Inseparable,0.0909,0.586,213720,0.692,5505368,0.0,8,0.0567,-5.143,1,31,0.177,158.041,4,0.457
Extra Virgin,One Night,0.00361,0.643,210667,0.896,880039,0.00205,0,0.901,-6.662,1,0,0.0359,130.011,4,0.338
Joe and Will Ask?,Claymore,0.00328,0.699,119053,0.974,13,0.776,9,0.29,-5.576,0,2,0.15,125.934,4,0.443
Building 429,Your Love Goes On,0.00407,0.338,238600,0.938,238795,0.0,9,0.323,-4.001,1,6,0.103,177.984,4,0.311
Willard Grant Conspiracy,Jerusalem Bells,0.832,0.229,225360,0.17,4767,0.525,9,0.267,-14.819,0,0,0.0315,71.085,3,0.0769
Joanna Wang,I'm Pathetic Enough,0.948,0.541,225000,0.133,72978,0.0761,10,0.109,-16.929,1,11,0.0394,83.083,4,0.4
Redrama,Those Days,0.0869,0.789,282027,0.821,40382,0.0,0,0.41,-3.815,1,11,0.348,96.971,4,0.619
Inspectah Deck,Gotta Bang feat. Kurupt & Billy Danze,0.0903,0.811,223400,0.709,104084,0.0,4,0.0768,-7.132,0,7,0.368,90.041,4,0.649
Thomas Godoj,Love Is You,0.025,0.473,222627,0.728,7165,0.000189,10,0.192,-5.128,1,13,0.0312,139.053,4,0.365
Moonbeam,The Lilt,0.0139,0.671,397453,0.656,8920,0.0529,4,0.108,-8.755,0,8,0.114,127.06,4,0.559
A Sunny Day In Glasgow,Daytime rainbows,0.000127,0.425,154973,0.609,17413,0.944,5,0.0777,-5.579,1,3,0.0495,134.888,4,0.3
Bif Naked,Sick,8.16e-06,0.458,219920,0.954,16885,0.0193,0,0.126,-2.734,1,7,0.0932,171.894,4,0.584
Rainer Von Vielen,Alles Ist Verbunden,0.0336,0.531,184600,0.581,4070,0.000915,0,0.216,-7.073,1,7,0.0593,164.161,4,0.552
Broadcast And The Focus Group,a medium's high,0.936,0.227,149267,0.666,92498,0.694,10,0.148,-11.359,0,12,0.171,75.573,3,0.0756
Lucky Fonz III,Every Ghost Back to Blanket,0.961,0.351,196347,0.0665,10107,2.94e-06,7,0.0836,-11.427,1,2,0.0352,135.762,3,0.366
War Of Ages,Desire,1.35e-05,0.357,174720,0.952,53657,6.69e-05,5,0.18,-3.436,1,23,0.0621,84.971,4,0.395
Okay,Beast,0.128,0.301,183413,0.565,2987,0.000145,5,0.126,-5.821,1,7,0.0272,94.141,4,0.276
Tom Pulse,Cuando (Floresca El Chuno),0.0441,0.694,209723,0.964,1931,0.0362,7,0.392,-5.304,0,17,0.0512,126.043,4,0.833
Ingrid Olava,Headlines,0.979,0.396,236667,0.212,11520,0.0858,6,0.196,-12.786,1,7,0.031,101.372,4,0.265
Meshuggah,ObZen,8.12e-06,0.242,442733,0.998,367039,0.88,3,0.284,-5.64,0,59,0.0895,114.831,4,0.18
