Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Lionel Richie,Tonight Will Be Alright,0.0591,0.6459999999999999,307413,0.84,1627956,0.0141,8,0.0516,-8.213,1,38,0.0283,125.18700000000001,4,0.716
Green Day,Boulevard of Broken Dreams,0.00552,0.496,262333,0.682,10443050,2.94e-05,8,0.0589,-4.095,1,74,0.0294,167.06,4,0.474
Linkin Park,In The End,0.165,0.476,184787,0.632,23212,0.337,9,0.111,-6.217,0,29,0.0376,107.961,4,0.132
The White Stripes,Seven Nation Army,0.00817,0.737,231733,0.463,2083792,0.447,0,0.255,-7.828,1,74,0.0792,123.881,4,0.324
Red Hot Chili Peppers,By The Way,0.0179,0.618,269000,0.938,13096982,0.0,9,0.167,-3.442,1,80,0.0456,91.455,4,0.875
Nickelback,How You Remind Me,0.00135,0.446,223840,0.764,4275291,0.0,10,0.099,-5.042,1,78,0.033,172.094,4,0.543
Evanescence,Bring Me To Life,0.00721,0.331,235893,0.943,2602493,2.06e-06,4,0.242,-3.188,0,79,0.0698,94.612,4,0.296
Papa Roach,Last Resort,0.000481,0.589,199907,0.89,3153738,0.00082,4,0.201,-3.719,0,79,0.0603,90.598,4,0.692
Jet,Are You Gonna Be My Girl,0.00148,0.613,213800,0.953,399500,0.000582,2,0.152,-3.435,1,75,0.0855,105.046,4,0.537
The Killers,Mr. Brightside,0.000767,0.778,426187,0.854,5274818,0.907,1,0.0585,-5.378,1,18,0.0651,131.996,4,0.956
Kings of Leon,Sex on Fire,0.00172,0.542,203347,0.905,4213747,0.0104,9,0.136,-5.653,1,79,0.054,153.398,4,0.374
Hank Williams,Honky Tonkin',0.857,0.535,165680,0.41,511362,0.0,11,0.0624,-10.719,1,43,0.031,165.226,4,0.801
Al Dexter,"Too Late To Worry, Too Blue To Cry",0.893,0.742,163056,0.351,1169,0.116,7,0.136,-14.295,0,28,0.0552,181.978,4,0.966
Bob Wills & His Texas Playboys,Texas Playboy Rag,0.993,0.685,166400,0.467,18755,0.545,4,0.168,-9.844,1,33,0.0345,110.442,4,0.719
Eddy Arnold,Anytime - Remastered,0.957,0.707,172587,0.163,43450,4.59e-06,0,0.0988,-12.704,1,32,0.0369,142.451,4,0.519
Bing Crosby,Tumbling Tumbleweeds,0.848,0.252,185200,0.121,290435,0.0897,9,0.101,-16.835,1,28,0.036,82.641,4,0.156
Sons of the Pioneers,Riders In The Sky,0.71,0.588,141947,0.37,20061,0.0,1,0.139,-13.494,0,38,0.0341,126.409,4,0.739
Gene Autry,Deep In the Heart of Texas,0.979,0.824,162400,0.317,29909,6.91e-05,3,0.284,-14.564,1,35,0.105,114.38,4,0.851
Hank Williams,Mind Your Own Business - Single Version,0.859,0.761,174200,0.459,511362,0.0,4,0.128,-9.429,1,35,0.0321,140.649,4,0.875
Eddy Arnold,One Kiss Too Many,0.938,0.715,138000,0.275,43450,2.04e-05,4,0.396,-11.992,1,29,0.0477,158.373,4,0.808
Hank Williams,Honky Tonkin',0.857,0.535,165680,0.41,511362,0.0,11,0.0624,-10.719,1,43,0.031,165.226,4,0.801
Al Dexter,"Too Late To Worry, Too Blue To Cry",0.893,0.742,163056,0.351,1169,0.116,7,0.136,-14.295,0,28,0.0552,181.978,4,0.966
Bob Wills & His Texas Playboys,Texas Playboy Rag,0.993,0.685,166400,0.467,18755,0.545,4,0.168,-9.844,1,33,0.0345,110.442,4,0.719
Eddy Arnold,Anytime - Remastered,0.957,0.707,172587,0.163,43450,4.59e-06,0,0.0988,-12.704,1,32,0.0369,142.451,4,0.519
Bing Crosby,Tumbling Tumbleweeds,0.848,0.252,185200,0.121,290435,0.0897,9,0.101,-16.835,1,28,0.036,82.641,4,0.156
Sons of the Pioneers,Riders In The Sky,0.71,0.588,141947,0.37,20061,0.0,1,0.139,-13.494,0,38,0.0341,126.409,4,0.739
Gene Autry,Deep In the Heart of Texas,0.979,0.824,162400,0.317,29909,6.91e-05,3,0.284,-14.564,1,35,0.105,114.38,4,0.851
Hank Williams,Mind Your Own Business - Single Version,0.859,0.761,174200,0.459,511362,0.0,4,0.128,-9.429,1,35,0.0321,140.649,4,0.875
Eddy Arnold,One Kiss Too Many,0.938,0.715,138000,0.275,43450,2.04e-05,4,0.396,-11.992,1,29,0.0477,158.373,4,0.808
