YEAR,ID1,ArtistName,SongTitle
,1,sam the sham and the pharaohs,wooly bully
,2,four tops,i cant help myself sugar pie honey bunch
,3,the rolling stones,i cant get no satisfaction
,4,we five,you were on my mind
,5,the righteous brothers,youve lost that lovin feelin
,6,petula clark,downtown
,7,the beatles,help
,8,hermans hermits,cant you hear my heart beat
,9,elvis presley,crying in the chapel
,10,the temptations,my girl
,11,the beach boys,help me rhonda
,12,roger miller,king of the road
,13,jewel akens,the birds and the bees
,14,mel carter,hold me thrill me kiss me
,15,junior walker  the all stars,shotgun
,16,sonny  cher,i got you babe
,17,gary lewis  the playboys,this diamond ring
,18,ramsey lewis trio,the in crowd
,19,hermans hermits,mrs brown youve got a lovely daughter
,20,the supremes,stop in the name of love
,21,the righteous brothers,unchained melody
,22,hermans hermits,silhouettes
,23,the seekers,ill never find another you
,24,jay and the americans,cara mia
,25,the byrds,mr tambourine man
,26,sounds orchestral,cast your fate to the wind
,27,barbara mason,yes im ready
,28,tom jones,whats new pussycat
,29,barry mcguire,eve of destruction
,30,the mccoys,hang on sloopy
,31,the beatles,ticket to ride
,32,bert kaempfert,red roses for a blue lady
,33,james brown,papas got a brand new bag
,34,wayne fontana  the mindbenders,game of love
,35,shirley ellis,the name game
,36,petula clark,i know a place
,37,the supremes,back in my arms again
,38,barbara lewis,baby im yours
,39,the kingsmen,the jolly green giant
,40,patti page,hush hush sweet charlotte
,41,bob dylan,like a rolling stone
,42,freddie and the dreamers,im telling you now
,43,gerry and the pacemakers,ferry cross the mersey
,44,the righteous brothers,just once in my life
,45,johnny rivers,the seventh son
,46,hermans hermits,im henery the eighth i am
,47,horst jankowski,a walk in the black forest
,48,the yardbirds,for your love
,49,the beach boys,california girls
,50,the moody blues,go now
,51,shirley bassey,goldfinger
,52,billy joe royal,down in the boondocks
,53,glenn yarbrough,baby the rain must fall
,54,the dave clark five,catch us if you can
,55,the beatles,eight days a week
,56,the beau brummels,just a little
,57,ian whitcomb,you turn me on
,58,marvin gaye,ill be doggone
,59,gary lewis  the playboys,save your heart for me
